Donem,Etkinlik,Baslangic_Tarihi,Bitis_Tarihi
Güz Dönemi,Kayıtlı Öğrenciler İçin Kayıt Yenileme,01.09.2025,21.09.2025
Güz Dönemi,Eğitim-Öğretim Yılı Başlangıcı,22.09.2025,22.09.2025
Güz Dönemi,Ders Seçim İşlemleri,22.09.2025,29.09.2025
Güz Dönemi,Ders Ekle-Sil / Üstten Ders Alma,30.09.2025,05.10.2025
Güz Dönemi,Muafiyet Başvuru Tarihleri,22.09.2025,05.10.2025
Güz Dönemi,Ara Sınav (Vize),08.11.2025,09.11.2025
Güz Dönemi,Eğitim-Öğretim Yılı Sonu,26.12.2025,26.12.2025
Güz Dönemi,Bitirme Sınavı (Final),27.12.2025,28.12.2025
Güz Dönemi,Bütünleme Sınavı (Telafi),31.01.2026,01.02.2026
Bahar Dönemi,Kayıt Yenileme / İlk Kayıt Tarihleri,18.02.2026,01.03.2026
Bahar Dönemi,Eğitim-Öğretim Yılı Başlangıcı,23.02.2026,23.02.2026
Bahar Dönemi,Ders Seçim İşlemleri Tarihleri,23.02.2026,01.03.2026
Bahar Dönemi,Ders Ekle-Sil / Üstten Ders Alma,02.03.2026,08.03.2026
Bahar Dönemi,Ara Sınav (Vize),25.04.2026,26.04.2026
Bahar Dönemi,Eğitim-Öğretim Yılı Sonu,29.05.2026,29.05.2026
Bahar Dönemi,Bitirme Sınavı (Final),06.06.2026,07.06.2026
Bahar Dönemi,Bütünleme Sınavı (Telafi),04.07.2026,05.07.2026
Yıl Sonu,Mezuniyet İçin Üç Ders Sınavı,06.09.2026,06.09.2026
Diğer,İkinci Üniversite Kayıt Tarihleri,27.07.2026,12.10.2026
